"MONTHS_SINCE_LAST","NUMBER_OF_DONATION","MARCH_2007"
11,1,0
11,1,0
11,1,0
11,1,1
11,1,0
14,1,0
14,1,0
14,1,0
14,1,0
14,1,0
14,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,1,0
21,1,0
21,1,0
21,1,0
21,1,0
23,1,1
23,1,0
23,1,0
23,1,0
23,1,0
23,1,0
23,1,0
23,1,0
39,1,0
72,1,0
14,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,1,0
16,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,0
21,1,1
21,1,0
21,1,0
22,1,1
23,1,0
23,1,0
23,1,0
23,1,0
23,1,0
23,1,0
23,1,0
23,1,0
38,1,0
38,1,0
40,1,0
74,1,0
2,1,0
2,1,1
2,1,0
2,1,0
2,1,0
2,1,0
2,1,1
2,1,0
2,1,0
2,1,0
2,1,0
3,1,1
4,1,0
4,1,0
4,1,0
4,1,0
4,1,1
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,1
4,1,0
4,1,0
9,1,0
2,1,1
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,1
2,1,1
2,1,1
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
2,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,1
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,1
4,1,1
4,1,0
4,1,1
4,1,1
4,1,0
4,1,0
4,1,0
4,1,0
4,1,1
4,1,0
9,1,0
9,1,0
11,1,1
11,1,0
11,1,0
11,1,0
11,1,0
11,1,0
11,1,0
11,1,0
11,1,0
14,1,0
14,1,0
14,1,0
14,1,0
14,1,0
14,1,0
14,1,0
14,1,0
14,1,0
21,2,0
16,2,0
21,2,0
21,2,0
23,2,0
9,2,0
9,2,0
14,2,0
21,2,0
11,2,0
23,2,0
23,2,0
23,2,0
11,2,0
21,2,0
21,2,0
16,2,0
23,2,0
2,2,1
4,2,1
4,2,1
4,2,0
2,2,1
2,2,0
2,2,1
2,2,0
4,2,0
11,2,0
2,2,0
14,2,1
14,2,0
14,2,0
2,2,0
4,2,0
4,2,0
16,2,0
4,2,0
11,2,0
21,2,0
14,2,0
11,2,1
23,2,0
14,2,1
21,2,0
23,2,0
21,2,0
23,2,0
21,2,0
2,2,0
2,2,0
2,2,0
0,2,0
2,2,0
2,2,1
2,2,1
2,2,0
2,2,0
2,2,0
4,2,0
4,2,0
4,2,0
4,2,1
4,2,0
4,2,0
4,2,0
2,2,1
2,2,0
2,2,0
4,2,1
2,2,0
2,2,1
2,2,0
2,2,0
6,2,1
2,2,0
4,2,0
9,2,0
11,2,0
11,2,0
11,2,0
2,2,0
3,2,0
7,2,0
8,2,0
11,2,0
4,2,0
9,2,1
14,2,0
14,2,0
14,2,0
14,2,0
14,2,0
14,2,0
11,2,0
4,2,0
11,2,0
14,2,0
2,2,0
16,2,0
11,2,0
11,2,0
4,2,0
9,2,0
11,2,0
14,2,1
11,2,0
4,2,1
4,2,0
4,2,0
21,2,1
18,2,0
16,2,0
11,3,0
14,3,0
11,3,0
16,3,0
2,3,1
2,3,0
16,3,0
14,3,0
14,3,0
11,3,0
14,3,0
14,3,0
14,3,0
16,3,0
21,3,0
21,3,0
21,3,0
23,3,0
21,3,0
23,3,0
14,3,0
16,3,0
23,3,0
0,3,0
2,3,1
2,3,1
2,3,1
2,3,0
2,3,1
2,3,0
4,3,0
4,3,0
4,3,1
6,3,0
2,3,0
11,3,0
4,3,0
11,3,0
4,3,1
11,3,1
2,3,0
4,3,0
2,3,1
4,3,0
14,3,1
2,3,0
11,3,0
16,3,0
16,3,1
11,3,0
9,3,0
14,3,0
4,3,0
14,3,0
11,3,1
9,3,0
21,3,0
21,3,1
16,3,0
14,3,0
23,3,0
16,3,0
14,3,0
16,3,0
11,3,0
11,3,0
21,3,0
16,3,0
23,3,0
21,3,0
23,3,0
23,3,0
14,3,0
23,3,0
21,3,0
21,3,0
23,3,0
